"name","Date","CurrentConcentration","TotalVolume","TotalCells","DesiredConcentration","NeededVolume","IncreaseVolumeML","SpinDown","TubeMaxML","TotalTubes"
"INF039_00_01","08-Sep-2025",5100000,1,"5.1e+06","6e+06","0.85","-0.15",TRUE,1,"0.85"
"Spin_INF039_00_01","08-Sep-2025",NA,NA,"5.1e+06","6e+06","0.85","0.85",FALSE,1,"0.85"
"INF059_00_01","08-Sep-2025",1.2e+07,1,"1.2e+07","6e+06","2","1",FALSE,1,"2"
"INF111_00_01","08-Sep-2025",1.1e+07,1,"1.1e+07","6e+06","1.8","0.83",FALSE,1,"1.8"
"ND006_11","08-Sep-2025",8300000,1,"8.3e+06","6e+06","1.4","0.38",FALSE,1,"1.4"
