"name","Cells","Volume","ConcentrationScientific","TotalVolume","TotalScientific","TimeSeconds","Instrument","Date"
"INF046_00_01","3079","31.06","9.9e+06",1,"9.9e+06","27.1","4L_UV","15-Sep-2025"
"INF063_00_01","3477","31.01","1.1e+07",1,"1.1e+07","27.1","4L_UV","15-Sep-2025"
"INF071_00_01","2673","30.91","8.6e+06",1,"8.6e+06","27.1","4L_UV","15-Sep-2025"
"INF227_00_01","2418","30.03","8.1e+06",1,"8.1e+06","26.3","4L_UV","15-Sep-2025"
"ND006_14","2789","30.45","9.2e+06",1,"9.2e+06","26.5","4L_UV","15-Sep-2025"
