"name","CD45","CD14","CD19","TandNKcells"
"INF052_00",1.5e+07,3700000,2300000,7400000
"INF100_00_01",1.7e+07,2800000,720000,6900000
"INF100_00_02",1.4e+07,2200000,5e+05,5900000
"INF179_00",1.4e+07,1600000,3800000,8200000
"ND006_02",1.1e+07,1400000,1300000,7500000
