"name","Cells","Volume","ConcentrationScientific","TotalVolume","TotalScientific","TimeSeconds","Instrument","Date"
"INF155-1_00_01","3190","30.94","1e+07",1,"1e+07","27.2","4L_UV","06-Aug-2025"
"INF155-1_00_02","4433","31.02","1.4e+07",1,"1.4e+07","27.3","4L_UV","06-Aug-2025"
"INF158-4_00_01","3277","30.03","1.1e+07",1,"1.1e+07","26.2","4L_UV","06-Aug-2025"
"INF158-4_00_02","3657","30.23","1.2e+07",1,"1.2e+07","26.4","4L_UV","06-Aug-2025"
"INF159-5_00_01","2043","30.93","6.6e+06",1,"6.6e+06","27.2","4L_UV","06-Aug-2025"
"INF159-5_00_02","2117","30.35","7e+06",1,"7e+06","26.7","4L_UV","06-Aug-2025"
"ND006_06","2882","30.93","9.3e+06",1,"9.3e+06","27.4","4L_UV","06-Aug-2025"
