"name","Date","CurrentConcentration","TotalVolume","TotalCells","DesiredConcentration","NeededVolume","IncreaseVolumeML","SpinDown","TubeMaxML","TotalTubes"
"INF155-1_00_01","06-Aug-2025",1e+07,1,"1e+07","6e+06","1.7","0.67",FALSE,1,"1.7"
"INF155-1_00_02","06-Aug-2025",1.4e+07,1,"1.4e+07","6e+06","2.3","1.3",FALSE,1,"2.3"
"INF158-4_00_01","06-Aug-2025",1.1e+07,1,"1.1e+07","6e+06","1.8","0.83",FALSE,1,"1.8"
"INF158-4_00_02","06-Aug-2025",1.2e+07,1,"1.2e+07","6e+06","2","1",FALSE,1,"2"
"INF159-5_00_01","06-Aug-2025",6600000,1,"6.6e+06","6e+06","1.1","0.1",FALSE,1,"1.1"
"INF159-5_00_02","06-Aug-2025",7e+06,1,"7e+06","6e+06","1.2","0.17",FALSE,1,"1.2"
"ND006_06","06-Aug-2025",9300000,1,"9.3e+06","6e+06","1.6","0.55",FALSE,1,"1.6"
