"name","Cells","Volume","ConcentrationScientific","TotalVolume","TotalScientific","TimeSeconds","Instrument","Date"
"INF166_00_01","3055","30.34","1e+07",1,"1e+07","26.6","4L_UV","27-Aug-2025"
"INF166_00_02","3037","30.72","9.9e+06",1,"9.9e+06","27.1","4L_UV","27-Aug-2025"
"INF199_00_01","4788","30.87","1.6e+07",1,"1.6e+07","27.3","4L_UV","27-Aug-2025"
"INF199_00_02","3413","30.67","1.1e+07",1,"1.1e+07","27.1","4L_UV","27-Aug-2025"
"INF207_00_01","2674","30.68","8.7e+06",1,"8.7e+06","27.1","4L_UV","27-Aug-2025"
"INF207_00_02","3219","31.04","1e+07",1,"1e+07","27.5","4L_UV","27-Aug-2025"
"ND006_08","2465","30.13","8.2e+06",1,"8.2e+06","26.6","4L_UV","27-Aug-2025"
