"name","CD45","CD14","CD19","TandNKcells"
"INF166_00_01",1e+07,2e+06,820000,6700000
"INF166_00_02",9900000,1500000,970000,6100000
"INF199_00_01",1.6e+07,3600000,820000,9800000
"INF199_00_02",1.1e+07,2700000,670000,6700000
"INF207_00_01",8700000,3600000,1e+06,3e+06
"INF207_00_02",1e+07,4200000,1500000,3500000
"ND006_08",8200000,1200000,1100000,5600000
