"name","Date","CurrentConcentration","TotalVolume","TotalCells","DesiredConcentration","NeededVolume","IncreaseVolumeML","SpinDown","TubeMaxML","TotalTubes"
"INF166_00_01","27-Aug-2025",1e+07,1,"1e+07","6e+06","1.7","0.67",FALSE,1,"1.7"
"INF166_00_02","27-Aug-2025",9900000,1,"9.9e+06","6e+06","1.6","0.65",FALSE,1,"1.6"
"INF199_00_01","27-Aug-2025",1.6e+07,1,"1.6e+07","6e+06","2.7","1.7",FALSE,1,"2.7"
"INF199_00_02","27-Aug-2025",1.1e+07,1,"1.1e+07","6e+06","1.8","0.83",FALSE,1,"1.8"
"INF207_00_01","27-Aug-2025",8700000,1,"8.7e+06","6e+06","1.4","0.45",FALSE,1,"1.4"
"INF207_00_02","27-Aug-2025",1e+07,1,"1e+07","6e+06","1.7","0.67",FALSE,1,"1.7"
"ND006_08","27-Aug-2025",8200000,1,"8.2e+06","6e+06","1.4","0.37",FALSE,1,"1.4"
