"name","Cells","Volume","ConcentrationScientific","TotalVolume","TotalScientific","TimeSeconds","Instrument","Date"
"INF040_00_01","5221","30.34","1.7e+07",1,"1.7e+07","27.2","4L_UV","29-Sep-2025"
"INF044_00_01","4360","30.49","1.4e+07",1,"1.4e+07","27.3","4L_UV","29-Sep-2025"
"INF228_00_01","3478","30.37","1.1e+07",1,"1.1e+07","27.2","4L_UV","29-Sep-2025"
"INF318_00_01","3908","30.25","1.3e+07",1,"1.3e+07","27.1","4L_UV","29-Sep-2025"
"ND006_17","2713","30.35","8.9e+06",1,"8.9e+06","27.1","4L_UV","29-Sep-2025"
