"name","Date","CurrentConcentration","TotalVolume","TotalCells","DesiredConcentration","NeededVolume","IncreaseVolumeML","SpinDown","TubeMaxML","TotalTubes"
"INF040_00_01","29-Sep-2025",1.7e+07,1,"1.7e+07","6e+06","2.8","1.8",FALSE,1,"2.8"
"INF044_00_01","29-Sep-2025",1.4e+07,1,"1.4e+07","6e+06","2.3","1.3",FALSE,1,"2.3"
"INF228_00_01","29-Sep-2025",1.1e+07,1,"1.1e+07","6e+06","1.8","0.83",FALSE,1,"1.8"
"INF318_00_01","29-Sep-2025",1.3e+07,1,"1.3e+07","6e+06","2.2","1.2",FALSE,1,"2.2"
"ND006_17","29-Sep-2025",8900000,1,"8.9e+06","6e+06","1.5","0.48",FALSE,1,"1.5"
