"name","Date","CurrentConcentration","TotalVolume","TotalCells","DesiredConcentration","NeededVolume","IncreaseVolumeML","SpinDown","TubeMaxML","TotalTubes"
"INF019-0_00_01","04-Aug-2025",1.4e+07,1,"1.4e+07","6e+06","2.3","1.3",FALSE,1,"2.3"
"INF019-0_00_02","04-Aug-2025",1.2e+07,1,"1.2e+07","6e+06","2","1",FALSE,1,"2"
"INF032-5_00_01","04-Aug-2025",6400000,1,"6.4e+06","6e+06","1.1","0.067",FALSE,1,"1.1"
"INF032-5_00_02","04-Aug-2025",5900000,1,"5.9e+06","6e+06","0.98","-0.017",TRUE,1,"0.98"
"Spin_INF032-5_00_02","04-Aug-2025",NA,NA,"5.9e+06","6e+06","0.98","0.98",FALSE,1,"0.98"
"INF180-9_00_01","04-Aug-2025",9100000,1,"9.1e+06","6e+06","1.5","0.52",FALSE,1,"1.5"
"INF180-9_00_02","04-Aug-2025",7600000,1,"7.6e+06","6e+06","1.3","0.27",FALSE,1,"1.3"
"ND006_05","04-Aug-2025",8400000,1,"8.4e+06","6e+06","1.4","0.4",FALSE,1,"1.4"
