"name","Cells","Volume","ConcentrationScientific","TotalVolume","TotalScientific","TimeSeconds","Instrument","Date"
"INF019-0_00_01","4158","30.47","1.4e+07",1,"1.4e+07","27.2","4L_UV","04-Aug-2025"
"INF019-0_00_02","3574","30.21","1.2e+07",1,"1.2e+07","26.9","4L_UV","04-Aug-2025"
"INF032-5_00_01","1970","30.64","6.4e+06",1,"6.4e+06","27.2","4L_UV","04-Aug-2025"
"INF032-5_00_02","1814","30.5","5.9e+06",1,"5.9e+06","27.2","4L_UV","04-Aug-2025"
"INF180-9_00_01","2784","30.73","9.1e+06",1,"9.1e+06","27.4","4L_UV","04-Aug-2025"
"INF180-9_00_02","2320","30.43","7.6e+06",1,"7.6e+06","27.2","4L_UV","04-Aug-2025"
"ND006_05","2540","30.25","8.4e+06",1,"8.4e+06","27.2","4L_UV","04-Aug-2025"
