"name","Cells","Volume","ConcentrationScientific","TotalVolume","TotalScientific","TimeSeconds","Instrument","Date"
"INF047_00_01","3185","30.06","1.1e+07",1,"1.1e+07","26.2","4L_UV","24-Sep-2025"
"INF224_00_01","1929","31.05","6.2e+06",1,"6.2e+06","27.1","4L_UV","24-Sep-2025"
"INF225_00_01","3767","31.01","1.2e+07",1,"1.2e+07","27.1","4L_UV","24-Sep-2025"
"INF315_00_01","4160","30.13","1.4e+07",1,"1.4e+07","26.3","4L_UV","24-Sep-2025"
"ND006_16","2848","30.4","9.4e+06",1,"9.4e+06","26.1","4L_UV","24-Sep-2025"
