"name","Cells","Volume","ConcentrationScientific","TotalVolume","TotalScientific","TimeSeconds","Instrument","Date"
"INF124-7_00_01","2810","30.99","9.1e+06",1,"9.1e+06","27.1","4L_UV","30-Jul-2025"
"INF149-4_00_01","2821","30.93","9.1e+06",1,"9.1e+06","26.5","4L_UV","30-Jul-2025"
"INF149-4_00_02","3816","30.75","1.2e+07",1,"1.2e+07","27.2","4L_UV","30-Jul-2025"
"INF169-6_00_01","2071","30.81","6.7e+06",1,"6.7e+06","27.1","4L_UV","30-Jul-2025"
"INF169-6_00_02","2067","30.68","6.7e+06",1,"6.7e+06","27.1","4L_UV","30-Jul-2025"
"ND006_04","2861","30.78","9.3e+06",1,"9.3e+06","27.2","4L_UV","30-Jul-2025"
