"name","CD45","CD14","CD19","TandNKcells"
"INF026_00_01",8400000,1300000,840000,6100000
"INF051_00_01",2.1e+07,3e+06,3600000,1.4e+07
"INF157_00_01",9600000,2e+06,310000,6900000
"INF274_00_01",1.1e+07,2700000,1e+06,6900000
"ND006_15",8800000,1200000,1300000,6100000
