"name","Cells","Volume","ConcentrationScientific","TotalVolume","TotalScientific","TimeSeconds","Instrument","Date"
"INF026_00_01","2517","30.11","8.4e+06",1,"8.4e+06","26.3","4L_UV","17-Sep-2025"
"INF051_00_01","6431","30.74","2.1e+07",1,"2.1e+07","26.9","4L_UV","17-Sep-2025"
"INF157_00_01","2967","31.02","9.6e+06",1,"9.6e+06","27.1","4L_UV","17-Sep-2025"
"INF274_00_01","3385","31.04","1.1e+07",1,"1.1e+07","27.2","4L_UV","17-Sep-2025"
"ND006_15","2737","31.03","8.8e+06",1,"8.8e+06","27.2","4L_UV","17-Sep-2025"
