"name","Cells","Volume","ConcentrationScientific","TotalVolume","TotalScientific","TimeSeconds","Instrument","Date"
"INF018_00_01","3595","30.94","1.2e+07",1,"1.2e+07","27.4","4L_UV","01-Oct-2025"
"INF109_00_01","3796","30.88","1.2e+07",1,"1.2e+07","27.3","4L_UV","01-Oct-2025"
"INF193_00_01","1273","30.59","4.2e+06",1,"4.2e+06","27.1","4L_UV","01-Oct-2025"
"INF200_00_01","3250","30.88","1.1e+07",1,"1.1e+07","27.4","4L_UV","01-Oct-2025"
"ND006_18","2919","30.08","9.7e+06",1,"9.7e+06","26.7","4L_UV","01-Oct-2025"
