"name","Date","CurrentConcentration","TotalVolume","TotalCells","DesiredConcentration","NeededVolume","IncreaseVolumeML","SpinDown","TubeMaxML","TotalTubes"
"INF018_00_01","01-Oct-2025",1.2e+07,1,"1.2e+07","6e+06","2","1",FALSE,1,"2"
"INF109_00_01","01-Oct-2025",1.2e+07,1,"1.2e+07","6e+06","2","1",FALSE,1,"2"
"INF193_00_01","01-Oct-2025",4200000,1,"4.2e+06","6e+06","0.7","-0.3",TRUE,1,"0.7"
"Spin_INF193_00_01","01-Oct-2025",NA,NA,"4.2e+06","6e+06","0.7","0.7",FALSE,1,"0.7"
"INF200_00_01","01-Oct-2025",1.1e+07,1,"1.1e+07","6e+06","1.8","0.83",FALSE,1,"1.8"
"ND006_18","01-Oct-2025",9700000,1,"9.7e+06","6e+06","1.6","0.62",FALSE,1,"1.6"
